City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
cintalapa,MX,16.7,-93.73,73.74,88.0,93.0,1.59
hvolsvollur,IS,63.75,-20.22,48.99,86.0,100.0,1.01
hasaki,JP,35.73,140.83,82.0,83.0,75.0,11.41
dzhebariki-khaya,RU,62.22,135.8,82.96,29.0,36.0,15.66
bejar,ES,40.39,-5.76,75.0,43.0,0.0,3.0
lively,CA,46.43,-81.15,75.2,53.0,5.0,3.36
karratha,AU,-20.74,116.85,83.1,23.0,39.0,13.85
krasnaya gorbatka,RU,55.87,41.76,50.74,70.0,10.0,1.12
aniche,FR,50.33,3.25,55.4,76.0,75.0,9.17
nechi,CO,8.09,-74.78,76.21,97.0,100.0,1.7
santa maria,BR,-29.68,-53.81,55.67,96.0,100.0,4.07
chabahar,IR,25.29,60.64,86.67,75.0,17.0,10.85
suez,EG,29.97,32.53,70.07,71.0,0.0,7.16
kruisfontein,ZA,-34.0,24.73,50.65,85.0,17.0,8.25
mezen,RU,65.85,44.24,48.83,69.0,94.0,5.93
wielun,PL,51.22,18.57,57.0,100.0,0.0,8.84
saint-georges,GD,12.06,-61.75,80.6,88.0,20.0,13.87
pecos,US,31.42,-103.49,89.6,18.0,1.0,4.7
sochi,RU,43.6,39.73,68.0,88.0,75.0,5.88
taltal,CL,-25.4,-70.48,56.75,70.0,50.0,5.73
san vicente de canete,PE,-13.08,-76.38,62.35,80.0,58.0,4.0
mwene-ditu,CD,-7.0,23.45,63.93,44.0,39.0,5.19
neiafu,TO,-18.65,-173.98,78.8,83.0,75.0,8.05
dandong,CN,40.13,124.39,67.21,90.0,100.0,6.78
acapulco,MX,16.86,-99.89,84.2,79.0,75.0,2.24
vanavara,RU,60.34,102.28,84.52,37.0,100.0,2.44
deputatskiy,RU,69.3,139.9,59.11,34.0,92.0,4.74
lompoc,US,34.64,-120.46,64.4,68.0,0.0,9.17
san miguel,SV,13.48,-88.18,76.64,84.0,99.0,0.76
vila,PT,42.03,-8.16,66.99,82.0,32.0,3.36
nhulunbuy,AU,-12.23,136.77,84.2,58.0,75.0,14.99
touros,BR,-5.2,-35.46,73.4,88.0,75.0,3.36
chapais,CA,49.78,-74.85,66.2,77.0,1.0,3.36
los llanos de aridane,ES,28.66,-17.92,71.6,73.0,75.0,16.11
gizo,SB,-8.1,156.84,83.14,70.0,21.0,1.66
khor,RU,47.89,134.95,72.43,76.0,51.0,5.32
severodvinsk,RU,64.56,39.83,50.0,76.0,40.0,2.24
bonthe,SL,7.53,-12.51,75.92,90.0,99.0,6.96
aloleng,PH,16.13,119.78,86.52,69.0,0.0,16.28
sorland,NO,67.67,12.69,47.07,82.0,23.0,36.1
sabang,ID,5.89,95.32,82.08,72.0,67.0,7.14
mariental,NA,-24.63,17.97,42.21,63.0,0.0,5.55
tamworth,GB,52.63,-1.7,55.4,76.0,100.0,8.05
margate,GB,51.38,1.39,59.0,61.0,58.0,1.01
saryg-sep,RU,51.5,95.6,77.77,47.0,0.0,1.34
vagur,FO,61.47,-6.81,49.78,96.0,100.0,19.04
porto santo,PT,33.07,-16.34,68.0,88.0,75.0,9.17
sur,OM,22.57,59.53,87.17,66.0,27.0,8.61
magadan,RU,59.57,150.8,53.92,89.0,100.0,8.46
rockland,US,41.17,-74.05,66.0,96.0,0.0,5.57
heihe,CN,50.24,127.49,77.0,65.0,20.0,4.47
kabalo,CD,-6.05,26.92,68.99,52.0,57.0,2.84
mollendo,PE,-17.02,-72.01,60.12,81.0,8.0,8.08
marawi,PH,8.0,124.29,82.0,77.0,100.0,3.0
santa cruz,BO,-17.8,-63.17,69.8,88.0,0.0,18.34
lethem,GY,3.38,-59.8,76.48,89.0,100.0,0.58
kutum,SD,14.2,24.67,74.93,49.0,3.0,3.53
oum hadjer,TD,13.3,19.7,81.54,59.0,96.0,14.27
loandjili,CG,-4.76,11.86,68.0,94.0,75.0,4.09
jackson,US,42.42,-122.83,75.2,33.0,1.0,10.29
sechura,PE,-5.56,-80.82,65.53,80.0,10.0,13.8
baracoa,CU,20.35,-74.5,79.81,84.0,27.0,8.19
calmar,CA,53.27,-113.82,66.2,55.0,75.0,4.7
phalaborwa,ZA,-23.94,31.14,57.2,76.0,0.0,5.82
ust-koksa,RU,50.27,85.61,60.91,48.0,100.0,2.13
palauig,PH,15.44,119.9,87.4,65.0,6.0,12.82
wajir,KE,1.75,40.06,74.26,77.0,0.0,13.22
gambela,ET,8.25,34.58,70.18,94.0,100.0,4.27
el alto,PE,-4.27,-81.21,63.64,90.0,8.0,15.7
shieli,KZ,44.17,66.75,84.07,14.0,100.0,7.74
bireun,ID,5.2,96.7,84.02,61.0,66.0,0.04
vilyuysk,RU,63.76,121.62,86.68,28.0,0.0,5.86
esso,RU,55.93,158.7,72.03,41.0,24.0,9.15
yarensk,RU,62.17,49.09,45.77,75.0,100.0,3.98
dubti,ET,11.74,41.09,88.54,36.0,20.0,0.18
ha tinh,VN,18.33,105.9,94.95,48.0,82.0,3.74
qasigiannguit,GL,68.82,-51.19,39.2,86.0,84.0,4.9
pryazha,RU,61.69,33.62,50.0,76.0,100.0,4.47
mackay,AU,-21.15,149.2,69.8,77.0,40.0,14.99
manjeshwar,IN,12.72,74.89,75.2,94.0,75.0,5.82
myaundzha,RU,63.05,147.19,56.91,42.0,67.0,17.94
ptuj,SI,46.42,15.87,59.0,93.0,13.0,1.12
songea,TZ,-10.68,35.65,56.23,91.0,5.0,4.0
mopipi,BW,-21.18,24.88,46.83,69.0,0.0,6.49
hare bay,CA,48.85,-54.01,62.6,100.0,75.0,5.82
krasnoselkup,RU,65.7,82.47,62.82,69.0,99.0,22.3
leh,IN,34.17,77.58,56.05,36.0,0.0,4.9
guerrero negro,MX,27.98,-114.06,65.23,78.0,0.0,13.02
hambantota,LK,6.12,81.12,82.4,94.0,40.0,9.17
kuraymah,SD,18.55,31.85,86.27,18.0,0.0,12.64
umm lajj,SA,25.02,37.27,81.84,53.0,0.0,6.2
usinsk,RU,65.99,57.53,41.79,77.0,93.0,15.1
goderich,CA,43.75,-81.72,66.0,84.0,0.0,6.04
panguipulli,CL,-39.63,-72.33,44.6,100.0,90.0,2.91
tailai,CN,46.38,123.4,79.95,48.0,9.0,10.67
chardara,KZ,41.25,67.97,78.4,26.0,98.0,1.57
purranque,CL,-40.92,-73.17,41.0,100.0,90.0,1.99
coahuayana,MX,18.73,-103.68,78.66,78.0,0.0,1.92
cabedelo,BR,-6.98,-34.83,74.97,82.0,0.0,11.45
monte patria,CL,-30.69,-70.95,50.95,71.0,70.0,6.2
flinders,AU,-34.58,150.86,66.0,62.0,0.0,10.0
khonsa,IN,27.02,95.57,76.33,91.0,72.0,2.39
half moon bay,US,37.46,-122.43,73.4,35.0,5.0,11.41
ulaanbaatar,MN,47.91,106.88,71.6,43.0,20.0,8.95
wageningen,NL,51.97,5.67,59.0,76.0,90.0,14.99
nova olimpia,BR,-14.8,-57.29,75.47,55.0,98.0,5.37
alekseyevsk,RU,57.84,108.35,82.92,37.0,0.0,4.83
teyateyaneng,LS,-29.15,27.75,30.9,90.0,0.0,1.52
quelimane,MZ,-17.88,36.89,69.8,94.0,75.0,2.24
benicarlo,ES,40.42,0.43,66.99,92.0,22.0,3.51
pacific grove,US,36.62,-121.92,64.4,63.0,1.0,4.7
la asuncion,VE,11.03,-63.86,77.59,91.0,94.0,9.93
aklavik,CA,68.22,-135.01,73.4,33.0,75.0,6.93
rio grande,BR,-32.03,-52.1,57.0,96.0,100.0,3.0
ribas do rio pardo,BR,-20.44,-53.76,68.41,80.0,29.0,6.51
ixtapa,MX,20.7,-105.2,84.2,79.0,90.0,11.41
mukhen,RU,48.1,136.1,71.15,83.0,41.0,3.42
shaunavon,CA,49.65,-108.42,57.67,95.0,100.0,11.41
yumen,CN,40.28,97.2,74.64,22.0,100.0,18.1
aksu,CN,41.12,80.26,74.59,21.0,14.0,4.07
shubarkuduk,KZ,49.14,56.49,59.07,82.0,100.0,11.99
meadow lake,US,34.8,-106.54,89.6,9.0,20.0,20.8
kimbe,PG,-5.55,150.14,88.7,56.0,73.0,5.61
laukaa,RU,58.74,29.85,62.26,75.0,100.0,10.78
berdigestyakh,RU,62.1,126.7,89.1,27.0,13.0,5.93
berberati,CF,4.26,15.79,67.23,100.0,100.0,1.48
odweyne,SO,9.41,45.06,72.1,65.0,60.0,19.22
egvekinot,RU,66.32,-179.17,41.68,66.0,86.0,7.49
greytown,ZA,-29.06,30.59,43.45,87.0,1.0,0.98
north bend,US,43.41,-124.22,64.0,87.0,75.0,9.17
venice,US,27.1,-82.45,86.0,70.0,1.0,10.29
dunedin,NZ,-45.87,170.5,46.0,91.0,100.0,1.99
buzdyak,RU,54.58,54.55,49.41,85.0,8.0,8.39
bosaso,SO,11.28,49.18,91.06,45.0,100.0,11.34
mogapi,BW,-22.32,27.83,45.63,91.0,0.0,2.24
kirkenaer,NO,60.46,12.06,53.01,83.0,99.0,3.29
vizinga,RU,61.07,50.1,46.71,63.0,98.0,4.36
